,audienceRating,Genre,criticRating,timeMin,Year
0,8.5,Action,67,155,2000
1,8.5,Mystery,80,113,2000
2,8.3,Comedy,55,104,2000
3,8.3,Drama,68,102,2000
4,7.4,Action,64,104,2000
5,7.8,Adventure,73,143,2000
6,7.6,Crime,64,102,2000
7,7.2,Drama,62,106,2000
8,7.0,Comedy,73,108,2000
9,6.1,Action,59,123,2000
10,7.8,Adventure,69,107,2000
11,6.5,Action,35,118,2000
12,7.9,Action,93,120,2000
13,7.2,Action,63,165,2000
14,7.9,Adventure,90,122,2000
15,7.1,Horror,49,109,2000
16,6.2,Comedy,48,88,2000
17,6.6,Comedy,49,116,2000
18,6.7,Horror,36,98,2000
19,6.6,Adventure,43,119,2000
20,8.1,Drama,83,154,2000
21,7.6,Crime,86,147,2000
22,7.8,Biography,48,113,2000
23,6.4,Comedy,47,127,2000
24,6.1,Comedy,46,104,2000
25,7.3,Drama,64,121,2000
26,5.5,Action,52,98,2000
27,6.2,Action,43,109,2000
28,7.0,Animation,88,84,2000
29,7.5,Comedy,79,113,2000
30,7.7,Adventure,81,114,2000
31,7.3,Biography,73,131,2000
32,7.3,Animation,70,78,2000
33,6.5,Adventure,55,93,2000
34,6.4,Action,59,130,2000
35,5.5,Comedy,30,83,2000
36,5.7,Action,24,112,2000
37,5.5,Horror,56,116,2000
38,7.7,Drama,74,110,2000
39,5.9,Action,49,123,2000
40,6.6,Action,77,110,2000
41,6.6,Drama,51,130,2000
42,7.2,Drama,40,123,2000
43,6.7,Comedy,47,98,2000
44,5.6,Comedy,27,100,2000
45,7.2,Biography,56,129,2000
46,6.7,Comedy,42,125,2000
47,8.1,Drama,85,98,2000
48,7.4,Crime,67,118,2000
49,6.0,Comedy,49,93,2000
50,8.0,Crime,61,140,2000
51,5.3,Comedy,38,90,2000
52,6.3,Horror,40,107,2000
53,7.3,Drama,62,136,2000
54,6.0,Comedy,52,98,2000
55,7.5,Comedy,54,109,2000
56,5.1,Action,33,99,2000
57,6.6,Action,62,116,2000
58,2.4,Action,9,118,2000
59,6.9,Animation,51,89,2000
60,6.4,Action,73,130,2000
61,5.6,Adventure,34,114,2000
62,5.9,Action,50,99,2000
63,6.1,Action,52,115,2000
64,7.4,Comedy,73,107,2000
65,6.7,Drama,62,112,2000
66,6.6,Animation,48,94,2000
67,5.9,Action,48,124,2000
68,6.9,Crime,49,106,2000
69,6.5,Comedy,30,118,2000
70,6.2,Action,45,135,2000
71,5.7,Action,34,106,2000
72,7.5,Comedy,78,90,2000
73,6.7,Drama,47,126,2000
74,7.3,Drama,67,145,2000
75,7.3,Biography,70,124,2000
76,7.3,Crime,79,89,2000
77,6.4,Comedy,60,128,2000
78,7.0,Crime,63,120,2000
79,6.5,Animation,56,82,2000
80,4.3,Comedy,38,106,2000
81,7.9,Crime,80,114,2000
82,6.4,Drama,45,128,2000
83,6.0,Comedy,46,103,2000
84,6.1,Comedy,45,104,2000
85,6.9,Drama,71,92,2000
86,6.8,Drama,70,108,2000
87,7.0,Drama,55,101,2000
88,5.7,Action,37,104,2000
89,6.7,Comedy,69,94,2000
90,7.2,Biography,65,94,2000
91,4.0,Adventure,15,90,2000
92,6.2,Comedy,69,110,2000
93,6.1,Comedy,41,98,2000
94,5.1,Action,24,102,2000
95,4.9,Adventure,35,100,2000
96,4.9,Action,26,99,2000
97,3.7,Action,14,107,2000
98,6.8,Comedy,30,120,2000
99,6.7,Action,49,119,2000
100,5.6,Action,24,106,2000
101,5.7,Action,30,117,2000
102,7.7,Animation,62,103,2000
103,7.7,Drama,85,111,2000
104,7.0,Biography,77,122,2000
105,5.3,Comedy,35,98,2000
106,5.3,Crime,22,97,2000
107,7.3,Biography,85,133,2000
108,5.5,Drama,24,103,2000
109,7.0,Drama,59,126,2000
110,7.9,Action,58,110,2000
111,7.2,Crime,47,114,2000
112,6.5,Crime,43,110,2000
113,5.9,Drama,25,122,2000
114,6.8,Comedy,75,105,2000
115,7.5,Comedy,84,106,2000
116,5.7,Drama,52,106,2000
117,7.8,Adventure,71,99,2000
118,7.0,Comedy,61,95,2000
119,4.2,Animation,36,92,2000
120,4.6,Action,21,87,2000
121,6.4,Crime,58,115,2000
122,6.9,Comedy,54,115,2000
123,3.6,Comedy,27,90,2000
124,6.7,Drama,52,115,2000
125,4.6,Comedy,64,122,2000
126,7.7,Action,47,109,2000
127,6.9,Comedy,62,93,2000
128,7.2,Drama,70,124,2000
129,4.8,Horror,19,90,2000
130,4.5,Crime,35,77,2000
131,8.1,Drama,93,173,2000
132,5.4,Comedy,29,94,2000
133,6.3,Animation,53,77,2000
134,7.7,Comedy,76,98,2000
135,4.2,Horror,16,97,2000
136,7.2,Comedy,74,101,2000
137,7.6,Drama,64,135,2000
138,6.2,Drama,40,100,2000
139,5.9,Drama,31,90,2000
140,4.9,Comedy,13,91,2000
141,5.1,Crime,17,107,2000
142,5.3,Comedy,23,107,2000
143,5.6,Crime,25,96,2000
144,6.2,Comedy,57,87,2000
145,5.8,Drama,55,116,2000
146,7.1,Comedy,77,112,2000
147,6.8,Crime,60,103,2000
148,5.1,Comedy,22,84,2000
149,6.6,Crime,65,94,2000
150,7.1,Drama,61,90,2000
151,6.7,Animation,44,48,2000
152,4.8,Comedy,33,94,2000
153,6.1,Horror,33,96,2000
154,5.0,Adventure,34,89,2000
155,8.3,Drama,92,145,2000
156,4.8,Drama,16,97,2000
157,4.7,Comedy,25,108,2000
158,5.8,Action,39,119,2000
159,7.2,Drama,74,118,2000
160,6.5,Comedy,50,135,2000
161,6.1,Animation,62,78,2000
162,5.3,Comedy,41,92,2000
163,5.0,Comedy,31,105,2000
164,7.2,Comedy,75,117,2000
165,7.3,Comedy,60,110,2000
166,6.9,Comedy,68,88,2000
167,6.8,Drama,70,110,2000
168,6.0,Comedy,40,112,2000
169,5.5,Comedy,20,94,2000
170,6.0,Drama,70,112,2000
171,5.6,Comedy,41,105,2000
172,7.4,Comedy,68,114,2000
173,4.6,Action,22,96,2000
174,7.3,Comedy,78,112,2000
175,5.9,Crime,45,113,2000
176,5.8,Adventure,45,95,2000
177,5.1,Drama,25,96,2000
178,6.8,Comedy,77,88,2000
179,5.7,Comedy,7,81,2000
180,7.2,Drama,86,92,2000
181,6.7,Comedy,70,87,2000
182,7.4,Drama,82,89,2000
183,6.6,Biography,44,103,2000
184,7.1,Romance,78,135,2000
185,7.0,Comedy,51,94,2000
186,6.2,Drama,62,90,2000
187,5.7,Comedy,42,101,2000
188,6.7,Drama,59,105,2000
189,6.2,Drama,65,97,2000
190,5.9,Comedy,64,97,2000
191,7.7,Drama,78,80,2000
192,7.8,Documentary,75,82,2000
193,6.0,Animation,20,82,2000
194,7.2,Drama,49,130,2000
195,6.9,Comedy,59,91,2000
196,6.5,Drama,62,120,2000
197,7.2,Crime,68,125,2000
198,8.3,Comedy,70,139,2000
199,6.2,Comedy,71,78,2000
200,6.9,Comedy,73,82,2000
201,5.7,Comedy,46,104,2000
202,7.4,Animation,74,132,2000
203,7.7,Documentary,82,108,2000
204,7.3,Drama,70,88,2000
205,7.3,Drama,73,112,2000
206,7.5,Drama,85,90,2000
207,6.3,Comedy,42,95,2000
208,6.7,Comedy,76,115,2000
209,6.6,Comedy,76,96,2000
